,Datetime,Text,Hashtags
0,2022-12-15 14:20:49+00:00,"Many years ago I ""coined"" the phrase #NotYourKeysNotYourCoins to teach people the concept of self-custody for #bitcoin&amp; other #cryptoassets.

My workshop ""Path to Self-Custody"" teaches you how to put it in practice, step by step.

Knowledge is power: https://t.co/xseygIq4Yi","['NotYourKeysNotYourCoins', 'bitcoin', 'cryptoassets']"
1,2023-06-13 14:46:09+00:00,"RT @J9Roem: 📢 ""It is critically important that we stay on guard against autocratic tendencies everywhere, including in liberal democracies.…",
2,2023-05-20 16:00:01+00:00,"Livestream: Opinion on Ledger Recover Controversy

#ledger
#ledgerrecover 

https://t.co/bSznz8ppXN","['ledger', 'ledgerrecover']"
3,2023-05-20 15:47:09+00:00,"Ledger Recover pubic livestream in ~15 min (12:00 EST)

If all goes well I'll be joined by Jameson @lopp, we will discuss the controversy over Ledger's new ""recover"" service.

https://t.co/bSznz8ppXN

#ledger #ledgerrecover","['ledger', 'ledgerrecover']"
4,2023-05-19 16:44:57+00:00,"Many have asked me about the Ledger recovery controversy.

Tomorrow, Saturday at noon Eastern Time, I will do a public livestream to offer my current perspective. 

Mark the date, link to follow...

#LedgerRecover #LiveStream","['LedgerRecover', 'LiveStream']"
5,2023-04-25 13:50:35+00:00,RT @LearnMoreWithC4: Help us spread the word about our 'Trivia: Beyond the Hype' session with @TheBAFNetwork for students attending #Consen…,
6,2023-04-25 13:50:29+00:00,RT @LearnMoreWithC4: The session provides an opportunity for students to enhance their knowledge of blockchain technology and identify oppo…,
7,2023-03-11 18:57:59+00:00,"A wave of phishing attacks is coming, harvesting the fear you feel about SVB and contagion. This and other actionable topics discussed today on our Livestream about #SVB and #cryptocontagion

https://t.co/eNN8rDGVZW","['SVB', 'cryptocontagion']"
8,2023-02-02 16:49:31+00:00,Comments on my Rules without Rulers talk: “wow wow wow andreas! i think this was your best speech ever.” “I just love when you combine political problems with innovation and technology.” “Absolutely inspiring as always.” Watch it now: https://t.co/wHxHVjM7iS,
9,2022-12-15 14:11:42+00:00,"The statement that 99% of users will lose their money if they attempt self-custody is a gross and irresponsible misscharacterization of relative risks.

Stop mistaking wealth for wisdom or expertise. 

#NotYourKeysNotYourCoins",['NotYourKeysNotYourCoins']
10,2022-12-13 17:13:40+00:00,"The lesson from FTX isn't ""FTX wasn't a safe place to store money"".

The lesson is: ""No exchange/third party can be trusted with my money""

#NotYourKeysNotYourCoins",['NotYourKeysNotYourCoins']
11,2022-12-13 17:11:15+00:00,"Is any exchange safe enough to use as a wallet and store your money there?

No, of course not. Never use an exchange as a wallet. Don't store money on exchanges. Do your exchange then withdraw. 

#NotYourKeysNotYourCoins",['NotYourKeysNotYourCoins']
12,2022-12-13 15:13:48+00:00,"#mahfreezepeach

Musk is a #hypocrite","['mahfreezepeach', 'hypocrite']"
13,2022-11-18 12:12:41+00:00,"I just wrote a script and pulled a backup of all 30k tweets I have ever posted here. 

Not your database, not your tweets",
14,2022-11-18 10:44:36+00:00,"RT @aantonop: In case this platform implodes faster than expected, follow here:

https://t.co/e1Hyt8PeZJ",
15,2022-11-11 23:14:56+00:00,"RT @aantonop: ""¿Si no son tus llaves? no son tus monedas"" vuelve a ser relevante.

La auto-custodia es difícil de hacer. Así que, durante 4…",
16,2022-11-11 23:14:48+00:00,"RT @aantonop: In light of another exchange meltdown, ""Not your keys, Not your coins"" is again relevant.

Self-custody is hard to do. So for…",
17,2022-11-11 11:50:36+00:00,"In case this platform implodes faster than expected, follow here:

https://t.co/e1Hyt8PeZJ",
18,2022-11-10 14:22:20+00:00,"In light of another exchange meltdown, ""Not your keys, Not your coins"" is again relevant.

Self-custody is hard to do. So for 48 hrs only, my ""Path to Self Custody"" workshop is 75% off (with code selfcustody4me) to help people take ownership of their keys

https://t.co/JlKokfEsSR",
19,2022-11-09 09:25:02+00:00,"The blue check protected you from unverified impersonators trying to scam you out of your money. It no longer serves that purpose, so I won't be keeping it.

Be careful, the scams &amp; impersonators will go wild now. I don't post much anymore.

May the odds be ever in your favor!",
20,2022-11-02 20:18:55+00:00,"New to #bitcoin and confused about the terminology? Let us help! 

Learn about public and private keys, 🔑 hashes, &amp; more as you move forward in your #crypto journey: 

👉https://t.co/mmdz1k0NKK https://t.co/wkOsL1O1fK","['bitcoin', 'crypto']"
21,2022-09-20 14:40:28+00:00,"Everyone will leave a legacy. The only question is what kind of legacy will you leave? 

Learn more about inheritance planning for #cryptoassets like #bitcoin in this workshop, available in English and Spanish: https://t.co/JrWAXSyPss https://t.co/yfwCSdH7xI","['cryptoassets', 'bitcoin']"
22,2022-09-09 15:03:17+00:00,"How many grains of sand are there on a beach? How about on planet Earth? How many molecules of silica in the Milky Way? How many #crypto private keys are there? 

Learn about #privatekeys in this video: 
https://t.co/utkocovmzZ https://t.co/AskB3Aade7","['crypto', 'privatekeys']"
23,2022-08-01 15:05:05+00:00,RT @LearnMoreWithC4: Our CCSS auditor exam is now available! Join our CCSS committee members LIVE this Thursday at 18:00 UTC with Petri Bas…,
24,2022-07-28 20:20:16+00:00,"Cars were once called unnecessary (bc who can travel as well as a horse?) Now #Bitcoin is the new financial technology, and banks will become, well, frankly, the next horse 💩

Watch to find out more.  https://t.co/FyeUp2JP40",['Bitcoin']
25,2022-06-05 16:54:12+00:00,"Livestream starts in less than 10 minutes! Join us! 

I’ll be answering questions from patrons, YouTube members, and you! Learn about #bitcoin, #ethereum, #cryptocurrency, and open #blockchains. 

Link: https://t.co/PtWzbnXhu7","['bitcoin', 'ethereum', 'cryptocurrency', 'blockchains']"
26,2022-05-31 17:08:15+00:00,"RT @LearnMoreWithC4: We are thrilled to share that our Certified Bitcoin Professional exam and prep book are now available in Spanish!
Nos…",
27,2022-05-26 13:59:11+00:00,"How do you determine if something is an open blockchain or if it’s simply bullshit?

Learn here: https://t.co/h1mqO5QIX1",
28,2022-05-24 13:47:17+00:00,"We don’t really need a hard sell to make #bitcoin win on the banks. All you need in order for bitcoin to win against banks is for a person to use bitcoin for a week, and then the bank will take care of the rest.",['bitcoin']
29,2022-05-20 17:42:28+00:00,Help us to educate the world about #bitcoin and open blockchains in as many languages as possible by becoming a community builder at https://t.co/k3FbNcQzix. Community builders get to ask their questions for the monthly livestreams first!,['bitcoin']
30,2022-05-16 15:17:15+00:00,"The essence of #Bitcoin is the ability to operate in a decentralized way, without needing to trust anyone. Period.",['Bitcoin']
31,2022-05-10 16:26:47+00:00,"#Bitcoin doesn’t care who the sender or the receiver is, what the application is, or what the value of the transaction is. All it cares about is if you paid the fee. If you did, your transaction is legitimate.",['Bitcoin']
32,2022-05-05 18:02:18+00:00,"If you're sick of what's happening in the global financial system, watch Currency Wars and #Bitcoin's neutrality on this playlist of all the talks included in The Internet of Money Volume 2 book.

https://t.co/9EbTpLx4qh",['Bitcoin']
33,2022-05-04 14:58:49+00:00,May the Fourth be with you. And also with #crypto. https://t.co/UYxxOJeBZy,['crypto']
34,2022-05-02 17:05:17+00:00,"What might governance look like if we had rules without rulers? 🧐

https://t.co/sE21MIu92S https://t.co/d3riCdeUUF",
35,2022-04-29 12:37:24+00:00,"Thanks to many of you, the aantonop YouTube channel features a number of playlists with subtitles in different languages! Take a look and share with friends who may benefit: https://t.co/SWU6o9YC0I",
36,2022-04-27 15:24:58+00:00,"In this talk from 2016, I talk about the similarities of cooking and #bitcoin. They’re not as different as you might think! Take a break and take a look: https://t.co/7OyYffAY4H",['bitcoin']
37,2022-04-24 19:46:35+00:00,"First question on the livestream today? Of course it was about the BIP119 controversy. The answer includes explanations of BIPs, constituencies of consensus, speedy trial (including UASF history) and more. https://t.co/OGrrzxOBdY https://t.co/1B3nUJm4WK",
38,2022-04-22 15:36:03+00:00,"The April Livestream Q&amp;A is this Sunday, April 24th at 10am PST/17:00 UTC. I’ll be answering your questions about #Bitcoin and open #blockchains. Hope to see you there! https://t.co/5uYtUYrd6e","['Bitcoin', 'blockchains']"
39,2022-04-19 15:31:27+00:00,"Economic inclusion is decreasing. The reason it's decreasing is because these isolated structures of finance, their very architecture, raise walls: national borders, class structures, and differences in how your money and your commerce are treated. 

This is why we crypto. 💪",
40,2022-04-18 14:19:46+00:00,"Cars. Electricity. The Internet. Bitcoin. What do they have in common?

They were once all considered to be “disruptive technology” and met with serious resistance.

They were wrong then &amp; they're wrong now.  See how #Bitcoin is going to change the world. https://t.co/FyeUp2JP40",['Bitcoin']
41,2022-04-15 17:39:46+00:00,"Visit the aantonop shop to learn about #bitcoin and #Ethereum from books and workshops, then show off your understanding with swag. Discounts when you buy our bundles from https://t.co/hxCpJBYuZQ #crypto https://t.co/bvhYosqIUK","['bitcoin', 'Ethereum', 'crypto']"
42,2022-04-14 15:49:53+00:00,"Bitcoin offers one service: securely time-stamped, scripted transactions. Everything else is built on the edge-devices as an application. Bitcoin allows any application to be developed independently, without permission, on the edge of the network. 
#bitcoin",['bitcoin']
43,2022-04-12 19:04:25+00:00,"¡Nuestro popular taller Planificación Sucesoral para Criptoactivos, impartido por @pamelawjd, ya está disponible en español en la tienda de aantonop! ¡Aprende cómo personalizar un plan de herencias para #criptoactivos más seguro y mejor hoy mismo! https://t.co/wUzgl8CTxx",['criptoactivos']
44,2022-04-11 13:46:36+00:00,"What happens when an industry transitions from using one or more complex and centralized networks to using a common, decentralized, open, and simple network? A tsunami of innovation that was pent up for decades is suddenly released. #openblockchains",['openblockchains']
45,2022-04-08 18:10:31+00:00,"This playlist starts with an introduction to #bitcoin for a general non-technical audience and outlines an easy way to understand bitcoin. Tag someone you know who wants to learn more about #crypto! 
https://t.co/YKKOXB6gBm","['bitcoin', 'crypto']"
46,2022-04-07 14:13:28+00:00,We’ve got another new design in the aantonop shop! Show your love for #Monero with a t-shirt or mug! #XMR https://t.co/oKQRQIOIHx https://t.co/4IVcxKMLSy,"['Monero', 'XMR']"
47,2022-04-06 17:19:55+00:00,“Fake news” has happened because the basis for producing truth has been removed from the very institutions whose job it was to produce truth.,
48,2022-04-05 13:31:45+00:00,"Flying standby doesn’t always end well, whether in aviation or in #bitcoin. See what I mean in The #Crypto Airplane: https://t.co/xm8A3lBihi","['bitcoin', 'Crypto']"
49,2022-04-04 08:39:54+00:00,Security Breach at Mailchimp targets Crypto Customers for Phishing Scams. Yesterday I was targeted for a Trezor related phishing scam. I wrote a quick post on Patreon to discuss what happened and what NOT to do. Please be careful out there friends. https://t.co/o2ZLC5Nqad,
50,2022-04-01 15:13:19+00:00,El Internet del Dinero Volumen Tres sera descontado a EUR 2.92 en un Kindle Monthly Deal desde el 01-abril-2022 hasta el 30-abril-2022 en https://t.co/sUFLRFE2aU,
